id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1498049084179062790,1498049084179062790,2022-02-28 03:05:08 India Standard Time,2022-02-28,03:05:08,+0530,1187416749433638912,randsticks,RandiSticks,,Wow #crypto fam. Everyday you amaze me. @WarrenBuffet should really tell Charlie Munger about this.   #UkraineRussiaWar #UkraineWar #UkraineRussia #blockchain #Ethereum #Bitcoin #Amazing #People,en,"[{'screen_name': 'warrenbuffet', 'name': 'warrenbuffet', 'id': '14340707'}]",[],[],1,4,13,"['crypto', 'ukrainerussiawar', 'ukrainewar', 'ukrainerussia', 'blockchain', 'ethereum', 'bitcoin', 'amazing', 'people']",[],https://twitter.com/RandSticks/status/1498049084179062790,False,https://twitter.com/N3wsCrypto/status/1498045874135572482,0,,,,,,,,[],,,,
1498046844680744961,1498046844680744961,2022-02-28 02:56:14 India Standard Time,2022-02-28,02:56:14,+0530,27659981,ra_raines,Rain Travels,,Just sent #Bitcoin to the brave solders in #ukraine. F*ck you Putin (and your mom)! #UkraineRussiaWar #UkraineUnderAttack #Ukrania #UkraineWar  https://t.co/pybrJ1z9qT,en,[],[],['https://pbs.twimg.com/media/FMohqmvXIAcaA6a.jpg'],0,0,0,"['bitcoin', 'ukraine', 'ukrainerussiawar', 'ukraineunderattack', 'ukrania', 'ukrainewar']",[],https://twitter.com/ra_raines/status/1498046844680744961,False,,1,https://pbs.twimg.com/media/FMohqmvXIAcaA6a.jpg,,,,,,,[],,,,
1498045775749783564,1498045775749783564,2022-02-28 02:51:59 India Standard Time,2022-02-28,02:51:59,+0530,1456352536076722182,anton66813428,Bitcoin Vader - ビットコインベイダー,,Fuck banks - Fuck war !!! #Bitcoin #ETH Let´s go Ukraine victory is yours ! @Ukraine,en,"[{'screen_name': 'ukraine', 'name': 'ukraine / україна', 'id': '732521058507620356'}]",[],[],0,0,0,"['bitcoin', 'eth']",[],https://twitter.com/Anton66813428/status/1498045775749783564,False,https://twitter.com/Ukraine/status/1497594592438497282,0,,,,,,,,[],,,,
1498045113355972608,1498045113355972608,2022-02-28 02:49:22 India Standard Time,2022-02-28,02:49:22,+0530,1436400817343434761,rarerthings,RARER THINGS,,"Is this the future?  Decentralised funding to the front line in war zones and crises? Ukraine accepts #Bitcoin, #Ethereum, #USDT  donations amid ongoing war  https://t.co/Q8PSebIaAK via @cointelegraph",en,"[{'screen_name': 'cointelegraph', 'name': 'cointelegraph', 'id': '2207129125'}]",['https://cointelegraph.com/news/ukraine-accepts-bitcoin-ethereum-usdt-donations-to-fund-ongoing-war'],[],0,0,0,"['bitcoin', 'ethereum', 'usdt']",[],https://twitter.com/rarerthings/status/1498045113355972608,False,,0,,,,,,,,[],,,,
1498044734534610949,1498044734534610949,2022-02-28 02:47:51 India Standard Time,2022-02-28,02:47:51,+0530,90957016,gruzer81,Mark Gruszczynski,,"Ukraine accepts Bitcoin, Ethereum, USDT donations amid ongoing war  https://t.co/7cv8czg9bA via @cointelegraph",en,"[{'screen_name': 'cointelegraph', 'name': 'cointelegraph', 'id': '2207129125'}]",['https://cointelegraph.com/news/ukraine-accepts-bitcoin-ethereum-usdt-donations-to-fund-ongoing-war'],[],0,0,0,[],[],https://twitter.com/Gruzer81/status/1498044734534610949,False,,0,,,,,,,,[],,,,
1498042496420659200,1498042496420659200,2022-02-28 02:38:58 India Standard Time,2022-02-28,02:38:58,+0530,938526126,emekafelix5,Felix 👉D'Great.,,"And you expect me to donate Bitcoin to Ukraine after this discrimination , even in a war situation.  #Africanarehumans too. @aproko_doctor @folanski @mbnworah @iamchrisani",en,"[{'screen_name': 'aproko_doctor', 'name': 'dr. chinonso egemba', 'id': '308269557'}, {'screen_name': 'folanski', 'name': 'fola aina', 'id': '94319570'}, {'screen_name': 'mbnworah', 'name': 'martin beck nworah', 'id': '185151008'}, {'screen_name': 'iamchrisani', 'name': 'chris ani', 'id': '1163000074894553088'}]",[],[],0,1,1,['africanarehumans'],[],https://twitter.com/EmekaFelix5/status/1498042496420659200,False,https://twitter.com/Africa_Archives/status/1497958622545989637,0,,,,,,,,[],,,,
1498041575066284042,1498041575066284042,2022-02-28 02:35:18 India Standard Time,2022-02-28,02:35:18,+0530,1409225447053873153,reinierrm,Reinier Hernandez,,Historical: Ukraine accepts #bitcoin and ethereum to pay for its war.  https://t.co/uGWZ4fCqvr,en,[],[],['https://pbs.twimg.com/media/FMoc3MFXwA8kZKc.jpg'],1,0,2,['bitcoin'],[],https://twitter.com/ReinierRM/status/1498041575066284042,False,,1,https://pbs.twimg.com/media/FMoc3MFXwA8kZKc.jpg,,,,,,,[],,,,
1498040790605393922,1498040790605393922,2022-02-28 02:32:11 India Standard Time,2022-02-28,02:32:11,+0530,1474014329880068096,josluis_eth,Josluis Piñeiro,,The attributes of Bitcoin allow war refugees to take control over their money.     The war between Russia and Ukraine highlights the goodness of #Bitcoin.  https://t.co/aapTOIxohF,en,[],[],['https://pbs.twimg.com/media/FMocI4bXEAMSVtG.jpg'],0,0,1,['bitcoin'],[],https://twitter.com/Josluis_ETH/status/1498040790605393922,False,,1,https://pbs.twimg.com/media/FMocI4bXEAMSVtG.jpg,,,,,,,[],,,,
1498039942559248392,1498039942559248392,2022-02-28 02:28:49 India Standard Time,2022-02-28,02:28:49,+0530,1266553151026614272,debdirtylooks,💅🏿neverlearned2swim👁,,War Correspondents Bought Cars With Bitcoin In Ukraine  https://t.co/ZCHWijQnTp,en,[],['https://coinbynews.com/war-correspondents-bought-cars-bitcoin-ukraine'],[],0,0,0,[],[],https://twitter.com/DebDirtylooks/status/1498039942559248392,False,,0,,,,,,,,[],,,,
1498037939963514884,1498037939963514884,2022-02-28 02:20:51 India Standard Time,2022-02-28,02:20:51,+0530,1195858374652354560,themlnt,THE MINT,,⚡️THE TWO DANISH JOURNALISTS WHO BOUGHT A CAR USING #BITCOIN TO COVER THE WAR HAVE REPORTEDLY BEEN SHOT &amp; INJURED IN EASTERN UKRAINE.  Latest updates: @theMlNT  #Ukraine #Russia #UkraineUnderAttack,en,"[{'screen_name': 'themlnt', 'name': 'the mint', 'id': '1195858374652354560'}]",[],[],1,1,4,"['bitcoin', 'ukraine', 'russia', 'ukraineunderattack']",[],https://twitter.com/theMlNT/status/1498037939963514884,False,,0,,,,,,,,[],,,,
